Reviews,rating
"Thank you for fast shipping 👍

Unfortunately in my earcrawler one diamond was missing right away. 
As I live in Germany it doesnt make sense to ship it around the globe again to repair. 
So I brought it to a local jeweller to set in a new stone. 
The seller responded immediately, was cooperative and reimbused the costs of the repair. 

The ear crawler is very beautiful and a sparkling eyecatcher in a great size 🌟 
For me this earcrawler represents a ‚real looking‘ shooting star that impressed me in a clear mountain night 😍",1
"I have wanted this ear crawler for a while and am so glad I finally got it!  Buy it, you won't be sorry.  It's so beautiful, it almost brought a tear to my eye.",1
This ear crawler is so beautiful and made with exceptional craftsmanship! It so dainty and elegant yet such a statement piece with any outfit ! Super comfortable to wear as well! My initial package got destroyed during delivery and this company replaced it immediately! Exceptional and speedy customer service! Will do business with this company always in the future! Thank you again! ❤️❤️,1
"Love these so much that I been wearing them ever since I've got them in the mail. It looks exactly like the photo. Size is perfect, length and the curve of the earring is perfect. The only issue it not like a regular earring, so its a little more looser and will fall but if you have a silicone earring backer, (which you can find a 1,000 piece on Amazon), it'll hold in place.",1
"I bought a pair, and am so glad that I indulged and got the real deal, they are stunning!  A beautiful shape, sparkly and clearly real gold and stones, I feel like a million bucks wearing these.  They're  weightless on my ears so I can leave them on day and night, and they look gorgeous with the trio stud I also bought.  Plus delivery was incredibly fast, two days from order to the UK!  I'll be back....",1
"Wonderful experience! I ordered on the 22 and received the earrings on the 24th! Super fast shipping! Beautiful earrings. I bought a pair. I’ve had these in my cart for a while and finally purchased them. So glad I did. Super sparkly, unique and great quality. Thanks so much! :)",1
"WOW!  So much sparkle, absolutely gorgeous earrings packaged in a beautiful box.  Super fast shipping (ordered on 3/26/21, received on 3/30/21), reasonably priced, couldn't be more pleased!  This was my first purchase from Social Value, but it definitely won't be my last!  Thank you so much...",1
I love love love this earring!!!!! I want others now. I get so many compliments.,1
"they are bigger/thicker than I expected but I still love them. I did wait over a month for them because of slow shipping (post office issue, not the seller) but they were worth the wait.",1
"The quality of these earrings is great, they look exactly as pictured! I really love them!!",1
"I love it! It’s a little smaller than I thought it would be l, but I still love it!",1
"The moonstone is more a bright white stone. It’s super pretty but doesn’t have the flashes of blue I’m used to with moonstone. That said, it’s super pretty",1
The earrings are gorgeous! It was shipped very quickly and there was great customer service regarding my questions on how to best wear climber earrings. Would recommend.,1
Shipped very quickly and is very cute and comfortable in my ear! Love!,1
Absolutely love these earrings!  They are the perfect size and very unique! Wish I had bought a few more. They shipped right away but took about 2 months to receive due to covid (sat in US customs for a month). Definitely would recommend!,1
my order arrived today and as always the pieces are so beautiful.  the lotus flower jacket earrings had to be replaced since i lost one. i love my new anklet and the half moon necklace is absolutely stunning.  the gift was so unbelievably sweet of you dear inali. thank you so much.,1
Absolutely love the Lotus jacket! Super worth it and very fast shipping!,1
Absolutely stunning! I have to say that there is nothing that you don't do beautifully! These earrings are modern but still very dainty and beautiful. I am a forever customer and HIGHLY recommend you to anyone looking for beautiful jewelry!!,1
Perfectly beautiful earrings!  I wore them on my wedding day and got so many compliments!,1
These are absolutely stunning and surpassed my hopes and expectations by far. Absolutely love them.,1
I am so please with this owner ! My ears were reacting to the metal and the owner gladly sent me a pair that worked much better ! Beautiful quality and an overall great experience. Thank you so much!,1
"OtisJaxon is my new BFF. These are So Cool! Really beautiful, lightweight and comfortable to wear, shipped super quick -- can't ask for more! Love you OJ",1
"I'm very happy with these earrings and they look exactly like the picture. I get lots of compliments on them! They're simple, yet catch the eye because they are unique.",1
"My wife loves anything I buy from Otis Jaxon!
Their circle motif earrings are just beautiful- and each new pair is a guaranteed hit with my spouse. Thanks for making the most important person in my life happier!",1
Really love these earrings!  And there are so many different combinations that can be achieved even with other earrings I already own!,1
"Just recieved it today and i love it! It took about 3 weeks to ship to the US. I got the gold udjat bracelet and it is gorgeous. Light weight, nice to wear. And fits perfectly since I have smaller wrists. Love it and highly reccomend!",1
"I love it so much! 
My Atlantean pendant is so beautiful and great quality!  I wear it every day and always get compliments on it.

Thank you!",1
"I love these earrings, they're definitely my style, just a bit unique, but I can still wear them to work! I've gotten SO many compliments and they stay in place on my ears! People have even asked where I bought them! Love Love Them!!",1
"The earrings are beautiful, but I failed to read how long they are. They are a little big for my ears (I didn't realize I had such small ears?!), but they are everything they say they are. The quality is amazing and they stay in place well. 
Thank you! ✌🏼️❤️",1
My new fave earrings! My hair is really short its not easy to have statement stud earrings that aren't bulky or childish. Love these!,1
Loved the ear crawlers! They were exactly as pictured in your merchandise listing and looked amazing on my ears.,1
"These are so great! I purchased a pair for my 20-year-old daughter and 17-year-old grand-daughter. They are NUTS over them. They are so adorable that I wish I'd gotten myself a pair! Gracy was so sweet, as well. I live in Michigan, so it took 3 weeks to arrive. Unfortunately, at Christmas, my package sat in US Customs for nearly 2 weeks!",1
"These are so great!  I purchased a pair for my 20-year-old daughter and 17-year-old grand-daughter.  They are NUTS over them.  They are so adorable that I wish I'd gotten myself a pair!  Gracy was so sweet, as well.  I live in Michigan, so it took 3 weeks to arrive.  Unfortunately, at Christmas, my package sat in US Customs for nearly 2 weeks!",1
"The item came beautifully wrapped and is as described. Shipping to Canada from Indonesia took over a month, but it was worth the wait! The X on the earring seems smaller than the photos - it is more suitable for people with smaller ears I think.",1
Thank you!! Earrings are exactly what I wanted. Very cute! Shipping said 2 to 4 weeks and I received my package in 3 weeks so I was happy about that. The earrings were also packaged with a fun freebie inside. :),1
"Exactly what I was looking for, not too heavy,  not too delicate.  Perfect length! Highly recommended!",1
"Love the necklace, highly recommended.  The chain is a lot shorter on me than on the model, so it would be nice t provide an option for longer chains.",1
This necklace is a real showstopper!  I can't wait to wear it for a night out on the town.,1
"These earrings are so light and pretty. Simple, yet eye catching and trendy. Love them!!",1
"These are so pretty!  They're just the right amount of sparkle and I think they are very sophisticated as well as trendy.  They never fall down and are so comfortable, even when answering the phone.  I just wish they had more colors!",1
"Absolutely love!  Have been looking for ear climbers, and the look and quality are excellent",1
Pinch a bit but it's to be expected! Love the look of them!,1
"Have had so many compliments on these ear climbers - I love them - perfect , thank you 👌🏻",1
"This is the 4th time I’ve purchased these earrings, and I now own them in both silver and gold. 
My first order was for myself, and as a mom and aunt of littles I wanted earrings that were lovely, go with everything, and weren’t made for little hands to pull on. I had no idea how much I would end up loving them, and they became my everyday earrings for almost two years! Sadly I knocked them out putting on my full face mask for a snorkeling trip, and lost them at the bottom of the ocean. I loved them so much I had to replace them ASAP, and they are back in my ears and still the same quality as when I originally ordered years ago. The other other two pairs I ordered as gifts for friends who really liked mine and commented on them all the time. Trust me, just order them, you’ll LOVE them, and they are flexible to adjust to your ear",1
Thank you Nicole for my beautiful earrings. I haven't  taken them off since I got them because I love the way they look so simple and clean yet so timeless and chic. Thank you so much for my new favorite earrings <3<3 :-D,1
"I absolutely love ear crawlers, but this is hands on the most elegant pair I’ve ever bought. Outstanding quality and so delicate you’d almost forget you’re wearing them!",1
Bought both gold + silver climbers—-LUV them!  Subtle + classy yet fun.  Size + wuality = perfect!,1
"I love my ear climbers! They are som comfortable and exactly what I was looking for in my second hole. I used to not be able to wear earrings in the second hole because they would get irritated from the backs. So this solved my problem because there is no ‘back’, it just slips on and stays put! I keep them in at all times, have had them a month now and haven’t taken them out once! I do live in USA and because they  originate and ship from Spain it did take almost 2 months to get them in. So just a heads up the shipping took quite a long time! But I did eventually receive item and seller was very helpful in making sure they were received.",1
"Beautiful! Was looking for a minimalist gold earring but something a bit different than just a plain stud, and these are perfect. Quality feels great, nice gold colour, they are comfy to wear and stay in easily. Will happily buy from this shop again! :)",1
The shop owner is AMAZING! Our package took a little longer than expected but she was willing to work with us. The earrings are  BEAUTIFUL!! Will buy it again.,1
"I knew before they arrived that this pair was going to be even prettier than my last order from Diri Jewels.  They put lots of love in the making process and its flawless.

I absolutely love them and can't wait to show it off.  Requesting material upgrade was not a hassle since I love my 18K!  I don't have a picture to post because I'm saving it for my birthday.",1
This piece is gorgeous!!! The picture does not do it justice. Great communication with the seller and it was packed so well for it's long journey to me. I will definitely buy another piece of jewelry in the future.,1
"I love this product it is beautiful!! I can’t wait to wear it to an upcoming wedding! The owner was very nice, I would definitely order from this shop again!",1
"Right from the start the communication was very clear. All of my needs and specifications were clearly understood. The end product was just amazing. The quality, the workmanship, the whole experience was just magical. Thank you so much for such a great and awesome experience!! The Blue and White Sapphire all round eternity band ring has made my mother really happy and she absolutely loves it!!!",1
"Wow! I recommend it to anyone; it is really a well done jewelry piece, it stays in place, it looks exactly as featured on the site, and I received a lot of compliments. Great for the summer!  Thank you 🙏 !",1
"These earrings took a while to get to me (I live in Canada) but 100% worth the wait! Unique, beautiful and well-made.",1
These are so unique! I’ve gotten a ton of compliments on them. Adds a little bit more flair to a standard stud earring.,1
They we're everything I thought & more! Arrived when they were supposed to & were more beautiful than I thought they would be!! I would buy them again without any doubts!!,1
"Everyone LOVED this ear climber! I bought this silver ear climber for my fiance as her wedding day gift from me. And she looked stunning in this jewelry! It was the perfect item to compliment her look!

And working with Kaminer Design was a joy! She was completely on top of the shipping and business side of this transaction as well! I HIGHLY recommend! 


(photo credit: The Wild Authentic)",1
"... and thanks a lot for this fantastic piece, it looks amazing and is very comfortable to wear! Whenever I wear this ear cuff people ask about it, it turns out to be quite the conversation piece!",1
"So beautifully crafted and wonderful conversation with the seller to make a small change to my piece. I love it and will be wearing it often. Thank you!! Broke the bank, but it was worth it lol",1
"And last but not least thank you so much for this great ear climber, too! I love the combination of this being a unique piece, still simple and elegant. This is another one I get lots of compliments for all the time!",1
Absolutely love this piece of jewelry! Very different and intricate: definitely my taste. This is probably my favorite piece of jewelry that I own!,1
"I got the silver ear crawler and I love it so much, it looks beautiful and it fits just right! Five stars for sure!",1
"Absolutely stunning! Wore these for my wedding, they were very comfortable, unique and beautiful.",1
So beautiful!!!! These are my first pair of climbers and will not be my last. They came in 4 days and I could not be happier!,1
"People make mistakes. How you deal with these mistakes is what makes a good shop a great shop. When I ordered these earrings for my mum, they were smaller than described. I contacted the shop and they told me they hadn't adjusted the descriptions yet so I was right. They offered to sent me a new pair in the right size free of charge and with this they went above and beyond what I expected. Turns out they aren't that much bigger after all.
I would recommend these earrings. However, it is important to keep in mind that the bars are actually a bit smaller (7 mm instead of 1 cm) than described. Also, if the space between the bottom of your earlobes and your piercing is broader than the model in de picture, the leaves of the flower won't stand out as much as they do in the pic. Other than that: nice!",1
"Wowee, the hype is real.  Absolutely adore these earrings, definitely my new favorites.  The oxidized look is perfect, not overdone.  Very well made.  Shipped crazy fast.  Love this shop.",1
I get nothing but compliments with these amazing ear jackets!!!! Awesome :),1
"Earrings came about 1 week after placing order (5d to CA). They're very pretty and unique, I'll definitely order again from this shop. Came with 2 pairs of rubber backings- perfect because I promptly flung one of the backings into the nether regions of my bathroom upon trying them on. Fits perfect. The bars are large, if you want a daintier look maybe go with a different stud combo (ie the leaves with a smaller bar).",1
"I just adore everything about this cool ring. Awesome design, really beautiful tourmaline with so many shades of forest green. I love the vibes of this gorgeous ring... A million thanks to a very talented artist!",1
First time buying crawlers. I first received them and they are very pretty! I put them and and discovered that I have fluffy earlobes and I was able to have a larger size made and now the fit wonderfully!! I absolutely love them!!,1
"I am in love with these earrings! Fantastic quality! They aren’t too big or small, just the right size with a minimalist design. Thank you!",1
"I absolutely love her ear climbers! I got them in silver and rose gold and liked them so much I ordered a pair for my sister. So elegant, simple and different. Lots of compliments already :)",1
"Great buy! Quality, style, and promptness of delivery were all A+. I, a person given to self-denial in areas like jewelry, bought one of these after stalking it on here for some time, loved it, lost it promptly, and wasted absolutely no time buying another.",1
"Thank you so much for the earrings. Those looks amazing. I am wearing them everyday, they are comfy and the colour is very nice. I have to mention that, they get a lot of compliments not only from my friends, but even from strangers. Also they shipped quicker than I thought. 
Thank you so much!",1
"Shipping and response time was great. 
These are by far my favourite earrings. I like that the posts are slightly shorter than typical studs – I find it more comfortable and can lay down with them in. Highly recommend! 
For those in colder areas be careful with scarves! My scarf got caught on the jacket and lost it.",1
"Took a while to get here but totally worth the wait. Beautifully made, delicate, and unique. I was worried about the sizing of the lower part on my earlobe but there are three holes so you can get the perfect fit.",1
Here they are at the back. They actually look really good on the front also. Really amazing thanks.,1
"These earrings are very well made and I love that they are so different.
Shipping was prompt and all is well....including all the compliments I get.
Thank you so much.
Deb Lanigan ,,          5stars...easily",1
"I am so delighted with these beautiful ear jackets! Love the delicate details and craftsmanship. The slice of wood that the earrings came packaged in was a creative, rustic touch. Already eyeing additional stud earrings to mix and match with the jackets - thank you!!",1
Love these little earrings! Have had many compliments on them.  Took a little while to get here from Lithuania but worth it!,1
"I love it so much, I might get another one for the other ear.  Great quality, very impressive in a quiet way!",1
Absolutely love those earnings!!!! I was looking for something unique and I found it. They are nicely made and come in adorable packaging that can also be storage box for them. I love the fact that you can rotate tiny wind mills like you would in real life :) Overall fast delivery. Top notch. I recommend the seller.,1
Thanks you I love them and I've got so many compliments on them :),1
I am absolutely in love with these! They're exactly as I imagined. I would definitely buy from this seller again!,1
This item took a while to get to me but I love it!! Totally worth the wait. The attention to detail in the earrings is amazing. They are gorgeous. I am extremely happy!!,1
These earrings are really cute. I like the way they hug my ears and the rose gold is perfect blend! Thinking about purchasing the other colors as well.,1
"Amazing!!! Im so in love with my new earrrings! They are trendy and unique, without being too ""out there"". I can wear them out for drinks, to my job as a nurse and to school. Perfect to wear anywhere. Very easy to put in and comfortable to wear. Ive gotten so many compliments! I love them that much- I plan on buying another set for ""backup"".",1
"Lovely earrings. I bought two without even thinking I might get two for the same ear, as these are advertised singularly, but man is she good and sent me one for each ear!!!!  Just love them! Stunning statement without being gaudy 😍",1
"Shipped quicker than I thought! Only got the right silver one, but now I might have to get the left one too",1
"super cute and comfortable! they don't stay put when I try to wear them across my ear like the model (they stick out and down a little), so I just wear them vertically. I still love them, giving 4 instead of 5 stars because they didn't turn out to be what I thought they were going to... but still recommend!!!",1
"Wonderful! They fit securely, are very lightweight, and so amazingly unique! These were just what I was looking for! :)",1
"The item shipped really quickly! I love them, they're really detailed!",1
"Stunning detail, just an absolutely gorgeous piece!! Worth every penny, nickel, quarter and dime.",1
"I was concerned that because ear shapes are different this would not work for me but it DOES! Beautifully crafted and fits like a dream. I have short silver hair and wanted something  that had a bit of ""bling"" but not over the top and these beautiful earrings were perfect. They were shipped timely and packaged beautifully. would recommend highly!",1
"So beautiful and easy to install. I have many old holes never used in my ears but the hole scar stay, I can hide them with that. The right stay in place but sometimes the left fall, but just put back in place and it's perfect. Fast shipping for Canada, I love it! Highly recommand it.",1
"These earrings are beautiful and so comfortable! I have very sensitive ears, and I love that these earrings are made from surgical steel! I can wear them all day and no problems. They also shipped very quickly. So excited to find a local British Columbian to get my jewelry from! Will be shopping here again.",1
"These earrings came quickly and were well packed. I like that they can be worn over the piercing (more like a cuff) or through it (although I've had a little trouble getting them in that way but that's user error!). They will be perfect for our Fall, outdoor engagement pics! Thanks again!",1
I'm getting so many complements for these ^_^ They're even prettier up close!,1
"Very nice, looks exactly as shown!!",1
Just as described and shipped quickly. Beautiful earrings!,1
Love the earrings :) get lots of compliments when wearing them.,1
"I LOVE this ear cuff. 😍 It is absolutely stunning and easily the most beautiful piece of jewelry I own. Plus, the sizing and dimensions were just right for my ear. There’s a post for pierced ears on the bottom and a wrap around clamp for the cartilage on top. I wore this as a part of a “queen” costume at an event where I was dancing all night and the cuff stayed on really well... which is saying a lot cause I really move my head around when I dance. It did get a bit painful on the top, especially when it got brushed while hugging people, but the clamp is adjustable, so loosening it did help a bit. It’s so beautiful, though, that it was worth any discomfort. Also, I paid for 1-3 day shipping and it did take a week to come to the States, so just be sure to plan accordingly. It’s worth the wait!",1
"Absolutely LOVE the cuff. It fits perfectly and stays in place. Customs were rediculously expensive though, but it's still a really beautiful ear accessory!",1
Very beautiful ear climber and matching stud. Fantastic quality. Would absolutely buy again.,1
Absolutely gorgeous earrings. I love that there's an adjustable clasp at the top portion to keep the earrings in place! The only drawback is that they took a little less than a month to arrive (overseas shipping).,1
"Beautiful item - absolutely thrilled with these! Packaging lovely, fabulous seller, quick delivery - perfect all round. So pleased!!",1
"My favourite kind of earrings from now on, they're so delicate but look lovely!",1
Lovely items and beautifully packaged. Thank you.,1
These earrings are gorgeous. I love that they are mismatched. They are delicate and beautifully made. I always get complements on them.,1
"I was waiting impatiently for it and finally received this morning. 
Delicate design, girly but discreet, in a very nice packaging and with detailed maintenance advices. 
Now impatiently waiting to show off :)",1
The quality is exactly as I expected. The shipping was slower than expected but I assume is covid related and the seller was always available and kept me inside what was happening shipping wise. I already use this ring for a couple weeks and my anxiety ticks diminished.,1
"The cottagecore shawl pin and flower+stem earrings are absolutely gorgeous! The quality is excellent and the products look exactly as promised.

I am absolutely going to purchase more items from ninibrooch as soon as I am able because the designs are truly stunning.",1
"Anja kept me in the loop with Covid shipping to the United States, and creates absolutely beautiful items! I love the ear crawlers, and they fit with no issues!",1
"fast shipping, high quality earrings. beautiful, looks great. just love it!!! tnx",1
"Prachtige earclimbers, mooi ingepakt, met zilverdoekje bijgesloten,snelle verzending, echte aanrader.",1
I am OBSESSED with these!! They are beautiful. The ear jacket is only slightly curved so if you have a very round earlobe like me it won't fit perfectly flush under there but I think it still looks good. Shipping was fast. Thank you!!,1
"These earrings shipped so fast, arrived in the sweetest packaging with a handwritten thank you note, and are just AWESOME. Exactly as pictured. If you're concerned about the drop length of the earring and if it will fit your earlobe, don't worry- they are adjustable! Great purchase, great shop- will be back for more!",1
"The owner is fantastic. The item was out of stock, I messaged her about it and she gave a quick reply as to availability along with regular updates about when she would have new stock ready to ship. Really nice and courteous. 

I have to say my greatest concern going in was that the earring would not be as described/pictured. Now that I've received them I am really impressed. Definitely sterling silver 925. And very dainty and subtle. Really beautiful work by owner, and okay delivery time considering I live in Sydney, Australia. 

Have been getting so many compliments, will definitely shop here again. 

Thank you so much.",1
My ear jackets are beautiful and arrived more quickly than I expected. I also like that I can wear the studs alone and mix and match the ear jackets with other earrings I already own. They're a perfect addition to my jewelry box.,1
They look exactly the way I wanted them to. I'm really happy!,1
Beautiful earrings! Shipping was on time and I had no issues!,1
"These are just lovely. Beautiful and delicate. They were shipped from England to California and I could get regular tracking updates. 

Thank you, Jen!",1
"Beautifully made, shipped very quickly and arrived on time. I will definitely buy more",1
Beautiful earrings and the maker was very helpful and quick to respond.,1
"They’re incredible quality and absolutely gorgeous. I’ve only had them for a month, and they are by far my most worn earrings. I love them! They don’t start to leave any kind of green marks on my ears like a lot of other silver jewelry- they just look amazing :) They don’t tangle at all, which I expected them to so that was a great surprise. Overall, they’re incredible earrings and I’m so glad I ordered them!",1
"Beautiful jewellery, and the packaging was so gorgeous I almost didn't want to open it! Thanks, I love the earrings :)",1
"Gorgeous, well-made, delicate, elegant looking - these earrings are just what I hoped for! Thank you so much! Loved the packaging, too :)",1
"This was my second purchase of these earnings as when my daughter saw them she wanted some! They arrived promptly and were beautifully wrapped in recycled material. They are much sturdier than I expected and i have not taken them out since i got my first pair about a month ago which means I have showered, slept and gone swimming with them in (probably not a good idea but I'm lazy about changing my earrings). I love them!",1
Love them!,1
"Love, love these earrings! They came in a simple and elegant box and tissue, ready as Christmas presents. They arrived on time with no problems. The earrings are beautifully created, simple and elegant in design. The amethyst gives them a colorful touch. Beautiful work. Thank you!",1
"I love this Ear Rings they are so beautiful! Thank you for your Service!
Sincerely Yours,

Catharina Hassid",1
"Good quality earrings, very elegant and arrived in good time. My only criticism is the presentation - they came just in a card sleeve.. So now I have to find a nice box to present them in. Apart from that, very happy. Thanks",1
"These are exactly what I was hoping for! Love them, and love the sizing options...they fit me perfectly!",1
"Exactly as pictured, beautiful in person :) Love them!",1
Very cute and unique!,1
"Earring broke within 24 hours. Reached out to the store and did not hear back. Luckily I was able to glue it back together. Love the earrings, just wish I hadn't needed to fix them so soon and that I had gotten some sort of response.",1
I have never written a review before on anything I purchase.. Maybe I'm too lazy. Anyway. These earrings are outstanding. The quality. The color of gold. The fact that they are a little malleable so you can gently bend them to fit your ear perfectly. The shipping did take a while.. I just got them yesterday and ordered a month ago (I'm in the US) . But it was worth the wait. Thank you!,1
"I absolutely love my earring crawler! It was well worth the wait. It's very light and doesn't hurt my ear to wear, which I was a little bit worried about, but it's so comfortable I've even accidentally slept with it in and didn't notice. The hammered details are absolutely lovely too.",1
I love these ear climbers so much! Very pretty!!,1
